"english", "bosnian"
"along","pripadati"
"already","već"
"also","takođ"
"alter","mijenjati"
"alternative","alternativa"
"although","iako"
"always","uvijek"
"AM","Am"
"amazing","čudesno"
"American","Amerikanac"
"among","među"
"amount","iznos"
"analysis","analiza"
"analyst","analitičar"
"analyze","analizirati"
"ancient","drevni"
"and","i"
"anger","bijes"
"angle","anđeo "
"angry","ljut"
"animal","životinja"
"anniversary","godišnjica"
"announce","najaviti"
"annual","godišnji"
"another","drugi"
"answer","odgovor"
"anticipate","predvidjeti"
"anxiety","tjeskoba, nervoza, anksioznost"
"any","bilo koji"
"anybody","bilo koji"
"anymore","sve"
"anyone","svi"
"anything","bilo šta"
"anyway","bilo kako "
"anywhere","bilo gdje"
"apart","osim"
"apartment","apartman"
"apparent","očito"
"apparently","očigledno"
"appeal","molba, žaliti se"
"appear","pojaviti"
"appearance","izgled"
"apple","jabuka"
"application","primjena, aplikacija"
"apply","aplicirati"
"appoint","imenovati, postaviti"
"appointment","ugovoreni sastanak"
"appreciate","cijeniti"
"approach","pristup"
"appropriate","prikladan"
"approval","odobrenje"
"approve","dokazati"
"approximately","približno"
"Arab","arapski"
"architect","arhitekt"
"area","arena"
"argue","raspljavati"
"argument","argumenat"
"arise","proizilazi"
"arm","ruka"
"armed","naorižan"
"army","vojska"
"around","okolo"
"arrange","urediti"
"arrangement","uređenje"
"arrest","uhapsiti"
"arrival","dolazak"
"arrive","stići, dospjeti"
"art","umjetnost"
"article","artikla"
"artist","umjetnik"
"artistic","umjetničko"
"as","kao"
"Asian","azijski, azijat"
"aside","u stranu"
"ask","pitati"
"asleep","zaspati"
"aspect","provjeriti"
"assault","napad"
"assert","tvrditi"
"assess","procijeniti"
"assessment","procjena"
"asset","aset, imovina"
"assign","predati"
"assignment","zadatak"
"assist","pomoći"
"assistance","pomoć"
"assistant","pomoćnik"
"associate","suradnik"
"association","asocijacija"
"assume","predpostaviti"
"assumption","pretpostavka"
"assure","uvjeriti"
"at","u"
"athlete","atletičar"
"athletic","atletika"
"atmosphere","atfosmera"
"attach","zakačiti"
"attack","napad"
"attempt","pokušaj"
"attend","prisustvovati"
"attention","pažnja"
"attitude","stav"
"attorney","pravnik"
"attract","privući"
"attractive","atraktivan"
"attribute","atribut"
"audience","publika"
"author","autor"
"authority","vlast"
"auto","auto"
"available","dostupno"
"average","prosječan"
"avoid","izbjegavanje"
"award","nagrada, nagraditi"
"aware","svjestan"
"awareness","svjest"
"away","daleko"
"awful","ružno"
"baby","beba"
"back","iza"
"background","podloga"
"bad","loš"
"badly","lošiji"
"bag","torba"
"bake","peći"
"balance","ravnoteža"
"ball","lopta"
"ban","zabrana"
"band","traka, zavoj, bend, grupa"
"bank","banka"
"bar","bar"
"barely","jedva"
"barrel","barel"
"barrier","prepreka"
"base","baza"
"baseball","bejzbol"
"basic","osnovan"
"basically","osnovniji"
"basis","osnova"
"basket","kanta, koš, basket"
"basketball","košarka"
"bathroom","kupaonica, kupatilo"
"battery","baterija"
"battle","boca"
"be","biti"
"beach","plaža"
"bean","grah"
"bear","medvjed"
"beat","udariti"
"beautiful","lijep"
"beauty","ljepota"
"because","zbog"
"become","postati"
"bed","krevet"
"bedroom","spavaca soba"
"beer","piva"
"before","prije"
"begin","početi"
"beginning","početak"
"behavior","ponašanje"
"behind","ispred"
"being","biće"
"belief","vjerovanje"
"believe","vjerovati"
"bell","zvono"
"belong","pripadati"
"below","ispod"
"belt","pojas"
"bench","klupa"
"bend","saviti"
"beneath","ispod"
"benefit","korist"
"beside","pored, pokraj"
"besides","osim"
"best","najbolji"
"bet","opklada, klađenje, kladiti se"
"better","bolji"
"between","između"
"beyond","iznad"
"Bible","biblija"
"big","velika"
"bike","biciklo"
"bill","račun"
"billion","milijarda"
"bind","vezati"
"biological","biološki"
"bird","ptica"
"birth","rođenja"
"birthday","rođendan"
"bit","biti"
"bite","ugristi"
"black","crn"
"blade","oštrica"
"blame","optužba, optužiti, krivica"
"blanket","pokrivač"
"blind","slijep"
"block","blokirati"
"blood","krv"
"blow","udarac"
"blue","plav"
"board","ploča"
"boat","brod"
"body","tijelo"
"bomb","bomba"
"bombing","bombardovnje"
"bond","veza"
"bone","kost"
"book","knjiga"
"boom","bum, tutanj, nagli rast ili skok"
"boot","čižma"
"border","granica"
"born","rođen"
"borrow","posuditi"
"boss","šef"
"both","oba"
"bother","gnjaviti"
"bottle","boca"
"bottom","dno"
"boundary","granica"
"bowl","zdjela"
"box","kutija"
"boy","dječak"
"boyfriend","momak"
"brain","mozak"
"branch","grana"
"brand","brend"
"bread","kruh"
"break","pauza"
"breakfast","doručak"
"breast","grudi"
"breath","dah"
"breathe","disati"
"brick","cigla"
"bridge","most"
"brief","kratak"
"briefly","kratko, ukratko"
"bright","svjetao"
"brilliant","sjajan"
"bring","donjeti"
"British","Britanac"
"broad","širok"
"broken","slomljen"
"brother","brat"
"brown","smeđa"
"brush","četka, četkanje"
"buck","upasti, spustiti ili u sleng jedan dolar"
"budget","budžet"
"build","izgraditi"
"building","zgrada"
"bullet","metak"
"bunch","gomila"
"burden","teret, breme"
"burn","spaliti"
"bury","pokopati"
"bus","autobus"
"business","poslovanje, biznis"
"busy","zauzet"
"but","ali"
"butter","maslac"
"button","gumb"
"buy","kupiti"
"buyer","kupac"
"by","sa"
"cabin","kabina"
"cabinet","kabinet"
"cable","kabal"
"cake","kolač, torta"
"calculate","izračunati"
"call","pozvati"
"camera","kamera"
"camp","kamp"
"campaign","kampanja"
"campus","kampus"
"can","moći"
"Canadian","kanadski"
"cancer","rak"
"candidate","kandidat"
"cap","kapa"
"capability","sposobnost"
"capable","sposoban"
"capacity","kapacitet"
"capital","glavni, glavni grad, kapital"
"captain","kapiten"
"capture","uhvatiti"
"car","auto"
"carbon","ugljen"
"card","karta"
"care","briga"
"career","karijera"
"careful","pažljivo"
"carefully","pažljivije"
"carrier","nosač, prijevoznik"
"carry","nositi"
"case","slučaj"
"cash","unovčiti"
"cast","baciti"
"cat","mačka"
"catch","uhvatiti"
"category","kategorija"
"Catholic","katolik"
"cause","razlog, uzrok"
"ceiling","strop, plafon"
"celebrate","proslaviti"
"celebration","proslava"
"celebrity","poznata ličnost"
"cell","ćelija"
"center","centar"
"central","središnji"
"century","stoljeće"
"ceo","direktor tvrke"
"ceremony","ceremonija"
"certain","siguran"
"certainly","sigurno"
"chain","lanac"
"chair","stolica"
"chairman","predsjednik"
"challenge","celend"
"chamber","komora"
"champion","šampion"
"championship","prvenstvo"
"chance","šansa"
"change","zamjeniti, promjena"
"changing","zamjenjivanje"
"channel","kanal"
"chapter","poglavlje"
"character","llik"
"characteristic","svojstvo"
"characterize","karakterizirati, okarakterisati"
"charge","naplatiti"
"charity","milosrđe"
"chart","grafikon"
"chase","loviti"
"cheap","jeftino"
"check","račun, ček, provjeriti"
"cheek","obraz"
"cheese","sir"
"chef","kuhar"
"chemical","kemijski"
"chest","grudi"
"chicken","piletina"
"chief","glavni"
"child","dijete"
"childhood","djetinjstvo"
"Chinese","kineski"
"chip","čip"
"chocolate","čokolada"
"choice","izbor"
"cholesterol","kolesterol"
"choose","izabrati"
"Christian","hrišćanin"
"Christmas","Božić"
"church","crkva"
"cigarette","cigareta"
"circle","krug"
"circumstance","okolnost"
"cite","navesti, citirati"
"citizen","građanin"
"city","Grad"
"civil","građanski"
"civilian","civil"
"claim","zahtjev, tvrdnja, tužba"
"class","klasa"
"classic","klasik"
"classroom","učionica"
"clean","čist"
"clear","čisto"
"clearly","jasno"
"client","klijent"
"climate","klima"
"climb","popeti se"
"clinic","klinika"
"clinical","klinički"
"clock","sat"
"close","zatvoriti"
"closely","tijesno"
"closer","bliže"
"clothes","odjeća"
"clothing","odjeća"
"cloud","oblak"
"club","klub"
"clue","trag"
"cluster","klastera"
"coach","trener"
"coal","ugljen"
"coalition","koalicija"
"coast","obala"
"coat","kaput"
"code","kod, kodirati"
"coffee","kava"
"cognitive","kognitivni, spoznajni"
"cold","hladno, prehlada"
"collapse","kolaps"
"colleague","kolega"
"collect","skupljati"
"collection","kolekcija"
"collective","kolektivan"
"college","koledž"
"colonial","kolonijalan"
"color","boja"
"column","kolona"
"combination","kombinacija"
"combine","kombinovati, kombinirati, spojiti"
"come","doći"
"comedy","komedija"
"comfort","udobnost"
"comfortable","udobno"
"command","naredba"
"commander","zapovjednik"
"comment","komentar"
"commercial","trgovački"
"commission","komisija"
"commit","počiniti"
"commitment","opredjeljenje"
"committee","odbor"
"common","uobičajen"
"communicate","komunicirati"
"communication","komunikacija"
"community","zajednica"
"company","društvo"
"compare","usporediti"
"comparison","usporedba"
"compete","konkurirati"
"competition","konkurencija"
"competitive","konkurentan, takmičarski"
"competitor","konkurent"
"complain","žaliti se"
"complaint","prigovor, žalba"
"complete","potpun"
"completely","potpuno"
"complex","kompleksno, složeno"
"complicated","složen"
"component","komponenta, sastavni dio"
"compose","sastaviti, sročiti"
"composition","sastav"
"comprehensive","opsežan, sveobuhvatan"
"computer","Računalo"
"concentrate","koncentrirati se, koncentrat"
"concentration","koncentracija"
"concept","koncept"
"concern","briga"
"concerned","zabrinut"
"concert","koncert"
"conclude","zaključiti"
"conclusion","zakljucak"
"concrete","beton"
"condition","stanje"
"conduct","ponašanje, vladanje"
"conference","konferencija"
"confidence","samopouzdanje"
"confident","uvjeren, siguran, samouvjeren"
"confirm","potvrditi"
"conflict","sukob"
"confront","suočiti"
"confusion","zbunjenost"
"Congress","Kongres"
"congressional","kongresni"
"connect","Spojiti"
"connection","veza"
"consciousness","svijest"
"consensus","konsenzus"
"consequence","posljedica"
"conservative","konzervativan"
"consider","uzeti u obzir"
"considerable","znatan"
"consideration","obzir"
"consist","sastojati"
"consistent","dosljedan"
"constant","konstantno"
"constantly","konstantno"
"constitute","konstituirati"
"constitutional","ustavni"
"construct","izgraditi"
"construction","izgradnja"
"consultant","konzultant"
"consume","pojesti"
"consumer","potrošač"
"consumption","potrošnja"
"contact","kontakt"
"contain","sadržati"
"container","kontejner"
"contemporary","suvremeni"
"content","sadržaj"
"contest","Natjecanje"
"context","kontekst"
"continue","nastaviti"
"continued","i dalje"
"contract","ugovor"
"contrast","kontrast"
"contribute","doprinijeti"
"contribution","doprinos"
"control","kontrolirati"
"controversial","kontroverzno"
"controversy","polemika"
"convention","konvencija"
"conventional","konvencionalne"
"conversation","razgovor"
"convert","Pretvoriti"
"conviction","osuda"
"convince","uvjeriti"
"cook","kuhati"
"cookie","kolačić"
"cooking","kuhanje"
"cool","svjež"
"cooperation","suradnja"
"cop","policajac"
"cope","izaći na kraj"
"copy","kopirati"
"core","srž"
"corn","kukuruz"
"corner","ugao"
"corporate","korporativni"
"corporation","korporacija"
"correct","ispravan"
"correspondent","dopisnik"
"cost","cijena"
"cotton","pamuk"
"couch","kauč"
"could","mogla"
"council","vijeće"
"counselor","savjetnik"
"count","računati"
"counter","brojač"
"country","zemlja"
"county","okrug"
"couple","par"
"courage","hrabrost"
"course","tečaj"
"court","sud"
"cousin","rođak"
"cover","pokriti"
"coverage","pokrivenost"
"cow","krava"
"crack","crack"
"craft","čamac"
"crash","sudar"
"crazy","lud"
"cream","krema"
"create","stvoriti"
"creation","stvaranje"
"creative","kreativan"
"creature","stvorenje"
"credit","kredit"
"crew","posada"
"crime","kriminal"
"criminal","kriminalac"
"crisis","kriza"
"criteria","kriteriji"
"critic","kritičar"
"critical","critical"
"criticism","kritika"
"criticize","kritikovati"
"crop","usjev"
"cross","preči"
"crowd","gužva"
"crucial","presudan"
"cry","plakati"
"cultural","kulturni"
"culture","Kultura"
"cup","kupa"
"curious","znatiželjan"
"current","Trenutno"
"currently","trenutno"
"curriculum","nastavni plan"
"custom","prilagođen"
"customer","kupac"
"cut","izrezati"
"cycle","ciklus"
"dad","tata"
"daily","dnevno"
"damage","šteta"
"dance","ples"
"danger","opasnost"
"dangerous","opasnost"
"dare","usuditi se"
"dark","mrak"
"darkness","tama"
"data","podaci"
"date","datum"
"daughter","kćer"
"day","dan"
"dead","mrtav"
"deal","Dogovor"
"dealer","prodavač"
"dear","draga"
"death","smrt"
"debate","debata"
"debt","dug"
"decade","desetljeće"
"decide","odlučiti"
"decision","odluka"
"deck","paluba"
"declare","proglasiti"
"decline","odbiti"
"decrease","smanjenje"
"deep","duboko"
"deeply","duboko"
"deer","jelen"
"defeat","poraz"
"defend","braniti"
"defendant","tuženik"
"defense","odbrana"
"defensive","obrambeni"
"deficit","deficit"
"define","definirati"
"definitely","definitivno"
"definition","definicija"
"degree","stupanj"
"delay","odgoditi"
"deliver","dostaviti"
"delivery","dostava"
"demand","zahtijevajte"
"democracy","demokratija"
"Democrat","Demokrata"
"democratic","demokratski"
"demonstrate","pokazati"
"demonstration","demonstracija"
"deny","poreći"
"department","odjel"
"depend","zavisiti"
"dependent","zavisan"
"depending","ovisno"
"depict","opisati"
"depression","depresija"
"depth","dubina"
"deputy","zamjenik"
"derive","izvući"
"describe","opisati"
"description","opisa"
"desert","dezert"
"deserve","zaslužiti"
"design","dizajn"
"designer","dizajner"
"desire","želja"
"desk","stol"
"desperate","očajan"
"despite","bez obzira na"
"destroy","uništiti"
"destruction","razaranje"
"detail","detalj"
"detailed","detaljan"
"detect","otkriti"
"determine","odrediti"
"develop","razviti"
"developing","razvoju"
"development","razvoj"
"device","uređaj"
"devote","posvetiti"
"dialogue","dijalog"
"die","umrijeti"
"diet","dijeta"
"differ","razlikuju"
"difference","razlika"
"different","različit"
"differently","različito"
"difficult","težak"
"difficulty","teškoća"
"dig","kopati"
"digital","digitalno"
"dimension","dimenzija"
"dining","blagovaonica"
"dinner","večera"
"direct","direktno"
"direction","smjer"
"directly","direktno"
"director","direktor"
"dirt","prljavština"
"dirty","prljav"
"disability","nesposobnost, invalidnost"
"disagree","ne slagati se"
"disappear","nestati"
"disaster","katastrofa"
"discipline","disciplina"
"discourse","diskurs"
"discover","otkriti"
"discovery","otkriće"
"discrimination","diskriminacija"
"discuss","raspravljati"
"discussion","rasprava"
"disease","bolest"
"dish","jelo"
"dismiss","odbaciti"
"disorder","poremećaj"
"display","prikaz"
"dispute","rasprava"
"distance","udaljenost"
"distant","udaljen"
"distinct","izrazit"
"distinction","razlika"
"distinguish","razlikovati"
"distribute","raspodijeliti"
"distribution","distribucija"
"district","okrug"
"dive","roniti"
"diving","ronjenje"
"diverse","drugačiji"
"diversity","raznovrsnost"
"divide","podijeliti"
"division","podjela"
"divorce","razvod"
"DNA","DNA"
"do","čini"
"doctor","liječnik"
"document","dokument"
"dog","pas"
"domestic","domaći"
"dominant","dominantan"
"dominate","dominirati"
"door","vrata"
"double","dvostruko"
"doubt","sumnjati"
"down","dolje"
"downtown","centar"
"dozen","tuce"
"draft","Nacrt"
"drag","opterećenje"
"drama","drama"
"dramatic","dramatičan"
"dramatically","dramatično"
"draw","crtati"
"drawing","crtanje"
"dream","san"
"dress","haljina"
"drink","piće"
"drive","voziti"
"driver","vozač"
"drop","pad"
"drug","droga"
"dry","suho"
"due","uslijed"
"during","za vrijeme"
"dust","prasina"
"duty","dužnost"
"each","svaki"
"eager","željan"
"ear","uho"
"early","rano"
"earn","zaraditi"
"earnings","zarada"
"earth","Zemlja"
"ease","lakoća"
"easily","lako"
"east","istočno"
"eastern","istočni"
"easy","lako"
"eat","jesti"
"economic","ekonomski"
"economics","ekonomija"
"economist","ekonomista"
"economy","ekonomija"
"edge","rub"
"edition","izdanje"
"editor","urednik"
"educate","obrazovati"
"education","obrazovanje"
"educational","obrazovni"
"educator","nastavnik"
"effect","posljedica, efekat"
"effective","djelotvoran"
"effectively","učinkovito, efikasno"
"efficiency","učinkovitost, efikasnost"
"efficient","učinkovit, efikasan"
"effort","napor, trud"
"egg","jaje"
"eight","osam"
"either","jedan ili drugi"
"elderly","starija osoba"
"elect","izabrati, izabbranik"
"election","izbor"
"electric","električni"
"electricity","elektricitet"
"electronic","elektronički"
"element","element"
"elementary","osnovni"
"eliminate","eliminirati"
"elite","elita"
"else","drugo"
"elsewhere","drugdje"
"e-mail","e-mail"
"embrace","zagrljaj"
"emerge","pojaviti"
"emergency","hitan"
"emission","emisija"
"emotion","emocija"
"emotional","emotivno"
"emphasis","isticanje"
"emphasize","naglasiti"
"employ","zaposliti"
"employee","zaposlenik"
"employer","poslodavac"
"employment","zapošljavanje"
"empty","prazan"
"enable","omogućiti"
"encounter","susret"
"encourage","ohrabriti"
"end","kraj"
"enemy","neprijatelj"
"energy","energija"
"enforcement","ovrha"
"engage","angažirati"
"engine","motor"
"engineer","inženjer"
"engineering","inženjerin"
"English","Engleski"
"enhance","povećati"
"enjoy","uživati"
"enormous","ogroman"
"enough","dovoljno"
"ensure","osigurati"
"enter","unjeti"
"enterprise","poduzeće"
"entertainment","zabava"
"entire","čitav"
"entirely","potpuno"
"entrance","ulaz"
"entry","ulaz"
"environment","okolina"
"environmental","kološki"
"episode","epizoda"
"equal","jednak"
"equally","jednako"
"equipment","oprema"
"era","doba"
"error","greška"
"escape","pobjeći"
"especially","naručito"
"essay","esej"
"essential","osnovni"
"essentially","u suštini"
"establish","uspostaviti"
"establishment","osnivanje"
"estate","imanje"
"estimate","procjena"
"etc","itd"
"ethics","etika"
"ethnic","etnički"
"European","europska"
"evaluate","procijeniti"
"evaluation","procjena"
"even","čak"
"evening","večer"
"event","događaj"
"eventually","konačno, najzad"
"ever","ikad"
"every","svaki"
"everybody","svi"
"everyday","svaki dan"
"everyone","svatko"
"everything","sve"
"everywhere","svugdje, posvuda"
"evidence","dokaz"
"evolution","evolucija"
"evolve","evoluirati, razviti"
"exact","točno"
"exactly","točno, upravo"
"examination","ispit"
"examine","ispitati, pregledati"
"example","primjer"
"exceed","prekoračiti"
"excellent","izvrstan"
"except","osim"
"exception","izuzetak"
"exchange","razmjena"
"exciting","uzbudljiv"
"executive","izvršni"
"exercise","vježba"
"exhibit","izložak"
"exhibition","izložba"
"exist","postojati"
"existence","postojanje, egzistencija"
"existing","postojanje"
"expand","proširiti"
"expansion","ekspanzija, prošienje"
"expect","očekivati"
"expectation","očekivanje"
"expense","trošak"
"expensive","skupo"
"experience","iskustvo"
"experiment","eksperiment"
"expert","stručnjak"
"explain","objasniti"
"explanation","obrazloženje"
"explode","eksplodirati"
"explore","istražiti"
"explosion","Eksplozija"
"expose","ekspoze"
"exposure","izlaganje"
"express","izraziti"
"expression","izrazit"
"extend","produžiti"
"extension","nastavak, dodatak"
"extensive","opsežan"
"extent","stepen"
"external","vanjski"
"extra","dodatni, posebno, ekstra"
"extraordinary","izvanredan"
"extreme","ekstremno, krajnje"
"extremely","krajnje"
"eye","oči"
"fabric","tvrtka"
"face","lice"
"facility","postrojenje"
"fact","činjenica"
"factor","faktor, činilac"
"factory","tvornica"
"faculty","fakultet"
"fade","uvenuti"
"fail","neuspjeh"
"failure","neuspjeh"
"fair","pravedan"
"fairly","pošteno, sasvim"
"faith","vjera"
"fall","pad"
"false","netačno"
"familiar","upoznat"
"family","obitelj"
"famous","poznat"
"fan","ventilator"
"fantasy","fantazija"
"far","daleko"
"farm","farma"
"farmer","farmer"
"fashion","moda"
"fast","brz"
"fat","mast"
"fate","sudbina"
"father","otac"
"fault","greška"
"favor","naklonost, milost"
"favorite","najdraži"
"fear","strah"
"feature","svojstvo"
"federal","federalni"
"fee","pristojba"
"feed","hraniti"
"feel","osjećati"
"feeling","osjećaj"
"fellow","kolega"
"female","žensko"
"fence","ograda"
"few","nekoliko"
"fewer","manje"
"fiber","vlakno"
"fiction","fikcija"
"field","polje"
"fifteen","petnest"
"fifth","peti"
"fifty","pedeset"
"fight","borba"
"fighter","borac"
"fighting","borba"
"figure","lik, ličnost"
"file","datoteka"
"fill","ispuniti"
"film","film"
"final","konačni"
"finally","konačno"
"finance","financija"
"financial","financijska"
"find","pronaći"
"finding","nalaz"
"fine","fino"
"finger","prst"
"finish","završiti"
"fire","vatra"
"firm","firma"
"first","prvi"
"fish","riba"
"fishing","ribolov"
"fit","pasati, odgovarati, biti spreman"
"fitness","fitnes"
"five","pet"
"fix","popraviti"
"flag","zastava"
"flame","plamen"
"flat","ravan, stan"
"flavor","aroma"
"flee","pobjeći"
"flesh","meso"
"flight","let"
"float","plutati"
"floor","kat, sprat"
"flow","tok, teći, protok"
"flower","cvijet"
"fly","letjeti"
"focus","fokus"
"folk","narod"
"follow","slijediti"
"following","sljedeći"
"food","hrana"
"foot","noga"
"football","futbal"
"for","za"
"force","sila"
"foreign","strana"
"forest","šuma"
"forever","zauvijek"
"forget","zaboraviti"
"form","oblik"
"formal","formalan"
"formation","formacija"
"former","prijašnji, bivši"
"formula","formuliranje"
"forth","dalje, naprijed"
"fortune","bogastvo"
"forward","naprijed"
"found","pronađeno"
"foundation","temelj"
"founder","osnivač"
"four","četiri"
"fourth","četvrti"
"frame","okvir, ram, okvir"
"framework","okvir, okosnica"
"free","besplatno"
"freedom","sloboda"
"freeze","zamrznuti"
"French","francuska"
"frequency","frekvencija"
"frequent","čest"
"frequently","često"
"fresh","svježe"
"friend","prijatelj"
"friendly","prijateljski"
"friendship","prijateljstvo"
"from","iz, od"
"front","ispred"
"fruit","voće"
"frustration","frustracija"
"fuel","gorivo"
"full","pun"
"fully","potpuno"
"fun","zabavno"
"function","funkcija"
"fund","financiranje, finansije"
"fundamental","osnovni"
"funding","financiranje"
"funeral","pogreb, sahrana"
"funny","smiješno"
"furniture","namještaj"
"furthermore","osim toga, štaviše"
"future","budućnost"
"gain","dobit"
"galaxy","svemir"
"gallery","galerija"
"game","igra"
"gang","banda"
"gap","praznina"
"garage","garaža"
"garden","vrt"
"garlic","češnjak"
"gas","plin"
"gate","vrata"
"gather","okupiti"
"gay","homoseksualac"
"gaze","piljiti"
"gear","zupčanik, brzina"
"gender","rod, spol"
"gene","gen"
"general","general"
"generally","obično"
"generate","generirati"
"generation","generacija"
"genetic","genetski"
"gentleman","gospodin"
"gently","nježno"
"German","njemački"
"gesture","gesta"
"get","dobiti"
"ghost","duh"
"giant","gigantski"
"gift","dar"
"gifted","darovit"
"girl","djevojka"
"girlfriend","djevojka"
"give","dati"
"given","dan"
"glad","drago"
"glance","pogled"
"glass","staklo"
"global","globalno"
"glove","rukavice"
"go","ići"
"goal","cilj"
"God","Bog"
"gold","zlato"
"golden","zlatan"
"golf","golf"
"good","dobar"
"government","vlada"
"governor","guverner"
"grab","zgrabiti"
"grade","razred"
"gradually","postepeno"
"graduate","diplomirati"
"grain","žitarica"
"grand","velićanstven"
"grandfather","djed"
"grandmother","baka"
"grant","odobriti"
"grass","trava"
"grave","grob"
"gray","siva"
"great","sjajno"
"greatest","najveći"
"green","zeleno"
"grocery","trgovine"
"ground","tlo"
"group","skupina"
"grow","rasti"
"growing","rastući"
"growth","rast"
"guarantee","jamćiti"
"guard","vrt"
"guess","nagađati"
"guest","gost"
"guide","vodić"
"guideline","smjernice"
"guilty","krv"
"gun","oružje"
"guy","dečki"
"habit","navike"
"habitat","stanište"
"hair","kosa"
"half","pola"
"hall","dvorana"
"hand","ruka"
"handful","šaćica"
"handle","rukovati"
"hang","objesiti"
"happen","dogoditi se"
"happy","sretan"
"hard","teško"
"hardly","jedva"
"hat","šešir"
"hate","mrziti"
"have","imati"
"he","on"
"head","glava"
"headline","naslov"
"headquarters","zapovjedništvo"
"health","zdravlje"
"healthy","zdrav"
"hear","čuti"
"hearing","sluh"
"heart","srce"
"heat","toplina"
"heaven","raj"
"heavily","teško"
"heavy","teško"
"heel","potpetica"
"height","visina"
"helicopter","helikopter"
"hell","pakao"
"hello","zdravo"
"help","pomoć"
"helpful","koristan"
"her","nju"
"here","ovdje"
"heritage","nasljđe"
"hero","junak"
"herself","onasama"
"hey","ej"
"hi","bok"
"hide","sakriti"
"high","visok"
"highlight","vrhunac"
"highly","visoko"
"highway","autocesta"
"hill","brdo"
"him","mu"
"himself","sam"
"hip","kuk"
"hire","najam"
"his","njegov"
"historian","povjesničar, historičar, istoričar"
"historic","povjesno, historijsko"
"historical","povjesni, historijski"
"history","povjest"
"hit","pogoditi, udariti"
"hold","držati"
"hole","rupa"
"holiday","praznik"
"holy","svet"
"home","dom"
"homeless","beskućnik"
"honest","pošten, čestit"
"honey","med"
"honor","čast"
"hope","nada"
"horizon","horizont"
"horror","užas"
"horse","konj"
"hospital","bolnica"
"host","domaćin"
"hot","vruće"
"hotel","hotel"
"hour","sat"
"house","kuća"
"household","domaćinstvo"
"housing","kućište"
"how","kako"
"however","kako god, međutim"
"huge","ogroman"
"human","ljudski"
"humor","smiješno"
"hundred","stotinu"
"hungry","gladan"
"hunter","lovac"
"hunting","lov"
"hurt","povrijediti"
"husband","muž"
"hypothesis","hipoteza, pretpostavka"
"I","ja"
"ice","led"
"idea","ideja"
"ideal","idealan"
"identification","identifikacija"
"identify","identificirati"
"identity","identitet"
"ie","odnosno, to jeste"
"if","ako"
"ignore","zanemariti"
"ill","bolestan"
"illegal","nezakonito"
"illness","bolest"
"illustrate","ilustrirati"
"image","slika"
"imagination","mašta"
"imagine","zamosliti"
"immediate","neposredan"
"immediately","odmah"
"immigrant","useljenik"
"immigration","useljeništvo"
"impact","udarac"
"implement","implementirati"
"implication","upletenost"
"imply","nagovjestiti"
"importance","važnost"
"important","važno"
"impose","nameću"
"impossible","nemoguće"
"impress","impresionirati"
"impression","utisak"
"impressive","impresivan"
"improve","poboljšati"
"improvement","poboljšanje"
"in","u"
"incentive","poticaj"
"incident","incident"
"include","uključiti"
"including","uključujući"
"income","prihod"
"incorporate","inkorporirati, pripojiti"
"increase","povećati"
"increased","povećan"
"increasing","raste"
"increasingly","rastući"
"incredible","nevjerovatno"
"indeed","doista, zapravo"
"independence","nezavisnost"
"independent","samostalan"
"index","indeks"
"Indian","indijac"
